ident,male,latinx,af_am,white,oth_eth,gpa,sport,academic,alcohol,ses
8438754,1,0,0,1,0,5.25,1.099,0.693,1.609,1.204
6875254,0,0,0,1,0,4.75,0.000,0.693,1.609,-1.250
4555505,0,0,0,1,0,7.5,0.000,0.693,1.099,0.767
7820780,1,0,0,1,0,7.25,0.000,1.386,1.609,-0.052
2599041,1,0,0,1,0,4.5,0.000,0.693,0.000,-0.638
1401801,1,0,0,1,0,8,0.000,0.000,0.693,-0.311
791508,1,0,0,1,0,2.25,1.099,1.386,1.099,0.298
2597560,0,0,1,0,0,5.75,1.099,1.386,1.099,-0.528
790277,0,0,0,1,0,6.5,0.000,1.099,1.099,0.500
2485807,0,0,0,1,0,6,0.693,0.693,0.693,-0.117
2506411,0,0,0,1,0,8,0.693,1.792,1.099,0.298
4533896,0,0,0,1,0,6.75,1.792,0.693,1.792,-0.065
7767348,1,0,0,1,0,7.75,1.386,0.000,2.079,-1.121
664177,0,0,0,1,0,7.25,0.000,1.099,0.000,0.122
2561872,1,1,0,0,0,7,0.000,0.000,0.000,-0.998
7262408,1,0,0,1,0,6.75,1.386,1.386,0.000,-0.078
4654050,0,0,0,1,0,8,1.099,1.099,0.000,0.797
1464326,1,0,0,1,0,5,0.693,0.693,2.197,0.326
7899079,0,1,0,0,0,2.5,0.000,0.693,1.792,-0.297
266641,0,0,0,1,0,8,1.609,1.099,1.946,1.352
894556,1,0,0,1,0,5.25,1.099,0.000,1.386,0.231
7808125,1,0,0,1,0,6.5,0.693,0.693,0.693,0.581
2528063,1,0,0,1,0,6.75,1.099,0.693,1.792,-0.767
2540193,1,0,0,1,0,7.25,1.099,1.386,2.197,0.509
7282830,1,0,0,1,0,7,0.000,0.693,0.000,-0.067
7831207,1,0,0,1,0,4.25,0.000,0.000,1.099,0.368
7753782,0,0,0,1,0,6.5,0.693,1.099,1.386,0.198
7848088,0,0,0,1,0,7.5,1.099,1.792,1.099,0.064
7788058,1,0,0,1,0,8.25,0.000,1.386,1.609,-0.098
4555524,0,0,0,0,1,7.75,1.099,0.000,0.000,1.137
7714765,0,0,0,0,1,7.25,0.000,1.609,0.000,1.571
4503655,1,0,0,1,0,4.25,0.000,0.000,1.099,-0.269
6895112,1,0,1,0,0,5.25,0.000,0.000,0.000,0.387
4555574,1,0,0,1,0,7.25,1.099,0.693,1.609,0.537
791358,1,0,0,1,0,4,0.000,0.000,1.386,-1.371
7200434,0,0,0,0,1,6.75,0.693,1.609,1.099,1.171
2531361,1,0,0,1,0,7.5,1.386,1.099,0.000,-0.187
4516940,0,0,0,0,1,6.5,0.000,1.099,0.000,-0.518
2628544,0,0,0,1,0,6.5,1.386,1.386,1.386,1.067
1437908,1,0,0,1,0,6.5,0.000,0.000,0.000,-0.474
6808613,1,0,0,1,0,7.75,0.000,1.609,0.693,-0.784
733453,0,0,0,1,0,5.25,0.693,0.000,1.386,-0.908
743917,1,0,0,1,0,7.25,0.000,0.000,0.000,0.210
786449,1,0,0,1,0,7,0.693,0.000,0.000,0.613
4545404,0,0,0,1,0,4.25,0.693,1.386,1.386,0.930
7217575,0,0,1,0,0,4.25,0.000,0.693,0.000,-1.110
6884340,1,0,0,1,0,7.75,1.099,0.693,0.000,-0.688
7884199,1,0,0,1,0,6.75,1.099,1.099,1.099,-0.635
5415730,0,0,0,1,0,4.25,0.693,1.099,1.386,1.796
5430505,0,0,0,1,0,7,0.000,0.693,1.609,0.715
4585182,1,0,0,1,0,6.25,0.693,0.000,1.099,-0.525
7214082,1,0,0,1,0,7.5,0.000,0.693,1.946,0.872
7908646,1,0,0,1,0,6.75,1.099,0.000,1.099,0.396
783458,0,0,0,1,0,6.25,1.099,0.693,1.792,-0.368
7873570,0,0,0,1,0,7.25,1.099,1.386,1.386,-0.714
6825009,1,0,0,1,0,6.75,0.693,1.099,0.000,0.972
6953253,0,0,0,1,0,7,1.099,1.386,1.792,0.835
7211660,0,0,0,1,0,7,1.099,1.386,0.693,1.275
1424658,1,0,0,1,0,8,0.693,1.099,1.099,-1.052
7813793,0,0,0,1,0,4.5,0.000,1.386,0.693,-0.495
2499128,1,0,0,1,0,5.25,0.000,0.693,0.693,-0.461
719454,0,0,0,1,0,5.75,1.099,0.000,0.000,-0.189
6883027,1,0,0,1,0,6,1.609,1.099,1.099,0.913
7821390,1,0,0,1,0,4,1.386,1.099,1.099,0.259
7232666,1,0,0,1,0,3.5,0.693,0.000,1.946,0.736
7884184,1,0,0,1,0,7.5,1.386,1.386,0.693,0.127
710611,0,0,0,1,0,5.25,0.000,0.693,0.000,-0.826
7757126,1,0,0,0,1,5.5,0.693,0.000,2.079,0.719
2423231,0,0,1,0,0,6.75,0.693,1.609,0.000,-0.104
6875043,0,0,1,0,0,4.75,0.000,1.099,0.000,-1.697
792319,1,0,0,1,0,6.75,0.693,0.000,0.000,0.251
4536641,1,0,0,0,1,6.75,1.609,1.099,0.000,-0.668
7283389,1,0,0,0,1,7.25,0.000,1.792,0.693,-0.566
2509543,0,0,1,0,0,5,0.000,1.386,1.609,-0.511
2417477,0,0,0,1,0,6,0.000,1.099,1.099,-1.160
6819407,0,0,1,0,0,6.75,0.000,0.000,0.000,-0.962
751467,0,0,0,1,0,7.5,0.693,1.099,1.609,0.812
1425416,0,0,0,1,0,7.5,0.693,1.099,1.099,-0.585
1425428,1,0,0,1,0,7.5,0.000,1.099,1.099,-0.040
6867306,0,0,0,1,0,5.25,0.000,1.099,1.099,-0.412
701274,0,0,0,1,0,8,0.000,0.693,0.693,-0.854
6832771,1,0,0,1,0,8.25,0.693,0.000,0.000,0.059
6846138,1,0,0,1,0,5.5,0.000,0.693,0.693,-0.161
2406293,0,0,1,0,0,3.75,0.000,0.000,1.099,-0.457
853631,1,0,0,1,0,6.5,1.099,0.693,0.693,0.776
