State,fipsCode,CensusRegion,CensusDivision,Population,PopChange2010_18,PerPopChange2010_18,InternMigration,InternMigRate,DomMigration,DomMigRate,Pop18andOlder,PopDensity,PerAge0_18,PerAge19_25,PerAge26_34,PerAge35_54,PerAge55_64,PerAge65Plus,MedianAge,PerWhite,PerBlack,PerLatinx,PerAmIndAlaskan,PerAsian,AssocDegree,BachDegree,MastersDegree,DoctoralDegree,ProfessionalDegree,IllicitDrugsPastMonth,PainPillPastYear,BingeAlcPastMonth,TobaccoPastMonth,IllicitDisorderPastYear,AlcDisorderPastYear,MentalIllnessPastYear,OpioidODDeathRate,SuicideIdeaPastYear,SuicideRate,SuicRateAgeAdj,ViolentCrimeRate,MurderMSRate,RapeRate,RobberyRate,AssaultRate,PropCrimeRate,BurglaryRate,LarcenyRate,MotorVehicleTheftRate,CommunitySupervision,Prisoners,DeathRow,CommSupervisionRate,PrisonRate,DeathRowRate,GunsPerCapita,Guns,PerPoverty,PerChildPoverty,PerCapIncome,MedHHIncome,UnemployRate,GrossStateProduct,StateTaxesPerCapita,CostLiving,TotalVotedPercent,WhiteVotedPercent,AAVotedPercent,LatinxVotedPercent,InfantMortalityRate,LifeExpectancy,HealthExpPerCapita,PercentUninsured,LifeSatis,Conservative,Religious
Hawaii,15,West,Pacific,1420491,60184,4.424,4075,2.87,-12430,-8.55,1116004,218.6,23,7,12,25,13,19,38.9,21,2,10,0.1,38,10.5,21.4,6.8,1.5,2.2,9.60,3.32,20.44,17.11,2.31,5.23,16.27,3.4,4.08,16.22,15.2,259.2,1.8,31.3,78,148.1,3050,547.9,2228.9,273.3,21900,5600,0,1962.36,501.79,0.00,5.5,7859,9.55,12,34035,78084,2.2,88448,5431,192.9,53.9,50.4,NA,30.9,6.04,81.5,7299,4.9,51.83213,17.49884,24.67288
Idaho,16,West,Mountain,1754208,186551,11.900,1681,0.95,24095,13.74,1338864,19.5,27,9,12,24,12,16,36.1,82,1,13,1,2,9.6,18.7,6,1.3,1.6,9.02,4.25,21.70,22.65,2.63,5.90,25.03,6.2,5.60,23.75,23.2,212.2,2,37.3,12.5,160.5,1854.8,393.3,1359.9,101.6,37500,11300,8,2800.88,844.00,0.71,28.86,49566,12.83,15,26772,53089,2.7,72294,2764,92.3,60.6,50.9,NA,23.8,5.83,79.1,6927,13.2,53.58697,22.08279,26.30128
Illinois,17,Midwest,EastNorthCentral,12741080,-90492,-0.705,30735,2.41,-114154,-8.96,9853946,232,24,9,12,26,13,15,37.9,61,14,17,0.7,6,7.9,20.9,9.6,1.3,2.2,10.05,3.70,27.53,22.44,2.59,6.25,16.76,17.2,3.87,12.48,11.2,370,5.3,32.3,118.8,213.7,2075.9,388.2,1552.2,135.5,143400,60800,0,1455.26,617.01,0.00,11.44,146487,12.55,16,34463,63575,4.1,822540,3128,94.5,67.8,57.1,56,33.3,6.38,79.1,8262,8.1,50.97997,19.53195,27.06944
Indiana,18,Midwest,EastNorthCentral,6691878,207817,3.205,9227,1.38,3555,0.53,5164245,183.4,25,9,12,25,13,16,37.6,79,9,7,0.4,2,8.5,16.3,6.9,1,1.5,11.24,4.83,23.06,26.80,2.48,5.24,20.90,18.8,5.04,17.81,16.3,365.3,5,33.1,104.5,222.6,2649.4,559.3,1880,210.1,116700,43200,8,2259.77,836.52,0.19,17.1,114019,13.48,18,28461,54325,3.5,352273,2899,90,65.3,50.9,47.2,36.5,7.39,77,8300,9.7,51.22419,22.37199,27.65790
Iowa,19,Midwest,WestNorthCentral,3156145,109273,3.586,5828,1.85,-2886,-0.91,2428229,55.3,25,9,12,24,13,17,38,86,3,6,0.1,3,11.2,19.1,6.5,1.2,1.7,8.10,4.19,29.66,26.39,2.35,7.08,19.02,6.9,4.69,16.33,15,273.5,1.9,36.3,33.6,201.6,2093.8,464.4,1495.8,133.6,35100,13400,0,1445.50,551.84,0.00,9.05,28494,10.73,14,31085,58580,2.5,183930,3196,90.1,74,60.8,51.3,46.7,5.96,79.4,8200,5.6,52.11486,21.52306,27.60145
Kansas,20,Midwest,WestNorthCentral,2911505,58379,2.046,2057,0.71,-12564,-4.32,2213064,35.4,26,9,12,24,13,16,36.5,76,5,12,1,3,8.3,20.7,9,1.2,2,8.31,4.58,26.13,24.75,2.31,5.52,19.71,5.1,4.87,20.05,19.1,348.6,3.1,48.6,46.9,250,2735.2,545,1952.4,237.8,21500,17200,10,971.50,777.20,0.58,18.06,52634,11.90,15,30757,57422,3.3,159108,3279,89,71.5,59.1,45.4,41.4,5.99,78.2,7651,10.3,53.19477,22.57121,28.10959
Kentucky,21,South,EastSouthCentral,4468402,129069,2.974,5816,1.30,798,0.18,3464802,111.3,24,9,12,26,14,16,38.7,85,8,4,0.7,1,8.6,14,6.8,1,1.7,9.09,4.34,21.79,33.73,2.82,4.94,22.29,27.9,4.71,17.71,16.9,211.6,3.6,32.6,75.6,99.8,2246.9,526.7,1577.1,143.2,63800,34700,30,1841.38,1001.50,0.87,18.2,81068,17.24,22,26948,48948,4.5,202175,2699,90.9,73.5,54.1,55.5,NA,6.78,75.1,8004,6.7,49.87341,24.71022,29.33531
Louisiana,22,South,WestSouthCentral,4659978,126493,2.790,3012,0.65,-27914,-5.99,3561164,107.1,25,9,12,25,13,15,36.5,59,32,5,1,2,6,15.2,5.4,0.9,1.8,9.29,4.12,26.72,30.20,2.67,6.16,19.11,9.3,4.25,16.09,15.2,514.7,10.3,29.6,122.5,352.4,3458.8,824.5,2421.6,212.7,71000,45400,69,1993.73,1274.86,1.52,24.94,116831,19.75,26,27027,47942,5,235960,2437,93.9,68,51.7,49.1,31.1,7.98,75.5,7815,9.3,50.21060,23.39317,30.28701
Maine,23,Northeast,NewEngland,1338404,10035,0.755,570,0.43,4469,3.34,1095370,43.1,19,7,11,26,16,21,44.5,93,1,2,0.2,1,9.8,18.8,8.2,1.2,1.9,16.35,3.94,23.53,24.21,3.03,5.62,19.01,29.9,3.99,19.56,18.9,127.8,1.6,36.5,22.9,66.9,1986.4,378.2,1548.2,60.1,6800,4100,0,620.80,374.30,0.00,11.5,15371,11.07,12,31253,55425,3.3,61703,3295,117.5,78.4,67,NA,NA,5.75,78.1,9531,10.0,51.87603,17.43655,22.84872
Maryland,24,Northeast,SouthAtlantic,6042718,268920,4.658,22575,3.74,-24518,-4.06,4710993,610.8,23,8,12,27,14,15,38.5,50,29,10,0.3,6,6.5,20.9,12.8,2.5,3.1,11.88,3.90,23.77,19.10,2.79,5.37,16.94,32.2,4.00,10.63,9.8,446.1,6.1,27.1,159.7,253.2,2507.5,468.7,1819.6,219.2,82800,28400,0,1757.59,602.85,0.00,17.03,103109,9.28,11,40517,81868,4.2,399538,3711,129.7,72.3,58.4,48.4,48.3,6.54,78.9,8602,6.9,51.48675,17.93942,26.21434
