nation,expend,econopen,perlabor
Canada,21.0,64.5,25.9
Finland,22.7,76.2,60.3
France,23.4,62.7,8.8
Germany,19.9,87.4,16.5
Italy,19.0,59.1,34.4
Japan,19.7,34.6,17.0
United Kingdom,18.5,60.8,23.4
United States,14.1,27.1,10.1
