id,educate,american,group
2719,14,16.666668,Not immigrant
2738,14,20,Not immigrant
2739,20,20,Not immigrant
2740,20,20,Not immigrant
2742,18,12.5,Not immigrant
2748,12,7.5,Not immigrant
2751,20,12,Not immigrant
2754,20,3.3333337,Not immigrant
2757,16,15,Not immigrant
2760,20,23.333332,Not immigrant
2763,12,20,Not immigrant
2768,10,10,Not immigrant
2773,16,14.000001,Not immigrant
2778,12,30,Not immigrant
2780,16,2.5,Not immigrant
2781,12,2.0000005,Not immigrant
2798,14,17.5,Not immigrant
2813,16,15,Not immigrant
2819,18,11.666668,Not immigrant
2823,20,20,Not immigrant
2829,12,5,Not immigrant
2831,12,12.5,Not immigrant
2850,12,0,Not immigrant
2858,16,7.5,Not immigrant
2869,20,15,Not immigrant
2871,14,15,Not immigrant
2872,20,20,Not immigrant
2878,12,12.5,Not immigrant
2880,16,10,Not immigrant
2882,14,6,Not immigrant
2896,14,6.666666,Not immigrant
2897,12,7.9999995,Not immigrant
2900,12,20,Not immigrant
2917,14,0,Not immigrant
2937,14,14.000001,Not immigrant
2939,14,12,Not immigrant
2950,14,14.000001,Not immigrant
2954,16,11.666668,Not immigrant
2959,10,14.000001,Not immigrant
2960,14,18,Not immigrant
2965,16,20,Not immigrant
2971,13,13.333332,Not immigrant
2973,14,0,Not immigrant
2987,16,10,Not immigrant
2992,20,15.999999,Not immigrant
3002,16,0,Not immigrant
3007,18,10,Not immigrant
3026,12,12,Not immigrant
3029,12,10,Not immigrant
3036,14,6.666666,Not immigrant
3041,12,10,Not immigrant
3050,10,13.333332,Not immigrant
3063,14,7.5,Not immigrant
3065,12,10,Not immigrant
3076,16,7.5,Not immigrant
3094,12,7.9999995,Not immigrant
3111,16,18,Not immigrant
3131,20,17.5,Not immigrant
3158,12,12.5,Not immigrant
3163,14,2.5,Not immigrant
3168,16,0,Not immigrant
3169,12,14.000001,Not immigrant
3183,16,15,Not immigrant
3191,12,8.333334,Not immigrant
3195,14,16.666668,Not immigrant
3204,13,15,Not immigrant
3209,10,10,Not immigrant
3215,14,12.5,Not immigrant
3220,20,14.000001,Not immigrant
3226,20,7.9999995,Not immigrant
3228,14,2.0000005,Not immigrant
3243,10,1.6666663,Not immigrant
3245,18,15,Not immigrant
3248,13,10,Not immigrant
3256,14,6,Not immigrant
3277,14,25,Not immigrant
3284,12,5,Not immigrant
3321,14,15,Not immigrant
3323,13,10,Not immigrant
3344,12,13.333332,Not immigrant
3358,18,0,Not immigrant
3375,13,10,Not immigrant
3394,13,0,Not immigrant
3399,10,12,Not immigrant
3400,14,20,Not immigrant
3415,20,15.999999,Not immigrant
3417,16,13.333332,Not immigrant
3431,14,14.000001,Not immigrant
3433,12,14.000001,Not immigrant
3455,12,14.000001,Not immigrant
3460,16,14.000001,Not immigrant
3461,16,20,Not immigrant
3463,14,11.666668,Not immigrant
3474,16,6.666666,Not immigrant
3480,14,15.999999,Not immigrant
3490,12,7.9999995,Not immigrant
3500,12,10,Not immigrant
3503,20,6,Not immigrant
3504,16,15,Not immigrant
3506,16,23.333332,Not immigrant
3514,12,12,Not immigrant
3519,12,8.333334,Not immigrant
3523,12,10,Not immigrant
3528,14,20,Not immigrant
3551,12,17.5,Not immigrant
3552,16,10,Not immigrant
3560,18,10,Not immigrant
3573,20,22.5,Not immigrant
3578,14,15,Not immigrant
3610,10,7.5,Not immigrant
3626,12,14.000001,Not immigrant
3629,12,6,Not immigrant
3647,10,12,Not immigrant
3658,12,7.9999995,Not immigrant
3675,14,10,Not immigrant
3684,12,5,Not immigrant
3699,13,6.666666,Not immigrant
3704,12,7.9999995,Not immigrant
3711,16,26.666668,Not immigrant
3714,13,12.5,Not immigrant
3716,10,12.5,Not immigrant
3717,10,6.666666,Not immigrant
3725,14,3.9999998,Not immigrant
3728,10,10,Not immigrant
3730,16,15,Not immigrant
3739,16,6,Not immigrant
3741,14,13.333332,Not immigrant
3747,16,26.666668,Not immigrant
3755,12,7.9999995,Not immigrant
3762,14,10,Not immigrant
3771,14,13.333332,Not immigrant
3773,12,10,Not immigrant
3778,10,6,Not immigrant
3782,12,7.9999995,Not immigrant
3795,20,23.333332,Not immigrant
3800,16,2.5,Not immigrant
3809,16,26.666668,Not immigrant
3819,20,20,Not immigrant
3821,12,7.9999995,Not immigrant
3822,16,10,Not immigrant
3830,16,27.5,Not immigrant
3831,10,15,Not immigrant
3838,14,12,Not immigrant
3840,14,20,Not immigrant
3845,14,5,Not immigrant
3846,12,10,Not immigrant
3854,14,13.333332,Not immigrant
3859,14,16.666668,Not immigrant
3861,20,8.333334,Not immigrant
3882,20,25,Not immigrant
3886,20,10,Not immigrant
3901,14,6.666666,Not immigrant
3907,16,15.999999,Not immigrant
3924,14,7.9999995,Not immigrant
3927,18,26.666668,Not immigrant
3931,12,12,Not immigrant
3937,14,17.5,Not immigrant
3940,20,30,Not immigrant
3949,16,22.5,Not immigrant
3971,14,22,Not immigrant
3989,20,10,Not immigrant
4000,12,7.5,Not immigrant
4010,14,12,Not immigrant
4023,10,0,Not immigrant
4033,16,15,Not immigrant
4039,16,20,Not immigrant
4055,14,12,Not immigrant
4066,14,7.5,Not immigrant
4072,16,16.666668,Not immigrant
4080,12,13.333332,Not immigrant
4083,14,12,Not immigrant
4086,20,23.333332,Not immigrant
4089,12,22.5,Not immigrant
4090,14,5,Not immigrant
4096,14,15,Not immigrant
4108,20,15,Not immigrant
4113,12,0,Not immigrant
4139,13,3.9999998,Not immigrant
4170,13,0,Not immigrant
4183,12,20,Not immigrant
4211,20,17.5,Not immigrant
4246,16,12,Not immigrant
4253,20,20,Not immigrant
4254,14,20,Not immigrant
4256,16,12,Not immigrant
4264,12,8.333334,Not immigrant
4286,13,3.3333337,Not immigrant
4289,12,5,Not immigrant
4291,14,20,Not immigrant
4301,14,5,Not immigrant
