State,StateCode,County,CountyCode,BingeDrink,TeenBirths,PrimaryCare,PerHSGrads,PerSingleParentHH,ViolentCrime,UnhealthyFoods,PerFastFood
Arkansas,4,Calhoun,94.040001,6,42,38,70,53,91,27,50
Arkansas,4,Carroll,95.040001,12,66,109,71,32,264,2,28
Arkansas,4,Clark,96.040001,10,35,109,100,36,338,3,65
Arkansas,4,Clay,97.040001,7,69,63,76,30,142,2,55
Arkansas,4,Cleveland,98.040001,9,59,23,71,39,61,37,100
Arkansas,4,Columbia,99.040001,10,51,87,76,48,457,3,63
Arkansas,4,Conway,100.04,11,66,111,71,30,289,7,41
Arkansas,4,Craighead,101.04,9,54,181,82,38,374,19,55
Arkansas,4,Crawford,102.04,12,62,79,78,31,204,29,44
Arkansas,4,Crittenden,103.04,11,88,51,71,60,1484,19,65
Arkansas,4,Cross,104.04,10,61,70,76,28,504,4,43
Arkansas,4,Dallas,105.04,5,61,74,56,48,331,7,50
Arkansas,4,Desha,106.04,7,81,52,78,47,452,5,38
Arkansas,4,Drew,107.04,12,50,64,81,46,464,4,58
Arkansas,4,Faulkner,108.04,13,34,90,84,27,280,21,47
Arkansas,4,Franklin,109.04,8,57,50,73,25,230,30,38
Arkansas,4,Fulton,110.04,10,51,119,91,26,184,6,54
Arkansas,4,Garland,111.04,15,64,110,69,36,617,23,43
Arkansas,4,Grant,112.04,14,45,39,75,25,222,24,53
Arkansas,4,Greene,113.04,13,71,96,72,26,308,3,53
Arkansas,4,Hempstead,114.04,11,80,65,68,32,501,6,52
Arkansas,4,Independence,115.04,8,64,148,79,35,488,4,50
Arkansas,4,Izard,116.04,8,58,46,71,29,64,3,33
Arkansas,4,Jackson,117.04,4,78,77,68,46,529,1,33
Arkansas,4,Jefferson,118.04,13,69,164,68,54,1159,15,67
Arkansas,4,Johnson,119.04,12,80,137,75,29,167,3,63
Arkansas,4,Lawrence,120.04,7,49,59,85,26,214,15,31
Arkansas,4,Lee,121.04,11,76,47,59,57,329,8,60
Arkansas,4,Lincoln,122.04,4,64,100,76,46,167,43,17
Arkansas,4,Little River,123.04,12,60,93,71,32,156,0,30
Arkansas,4,Logan,124.04,15,63,71,89,27,230,3,48
Arkansas,4,Lonoke,125.04,14,49,40,77,27,416,22,51
Arkansas,4,Madison,126.04,17,47,38,75,19,229,40,18
Arkansas,4,Marion,127.04,11,48,36,70,18,270,4,33
Arkansas,4,Miller,128.03999,13,76,120,71,44,1153,21,53
Arkansas,4,Mississippi,129.03999,8,95,68,63,52,884,2,56
Arkansas,4,Monroe,130.03999,8,69,72,75,57,127,6,55
Arkansas,4,Nevada,131.03999,9,82,55,81,40,327,10,60
Arkansas,4,Ouachita,132.03999,11,73,82,88,45,392,10,52
Arkansas,4,Perry,133.03999,15,48,19,87,32,228,34,50
Arkansas,4,Phillips,134.03999,12,94,61,54,65,1757,14,60
Arkansas,4,Poinsett,135.03999,12,84,28,74,43,489,32,57
Arkansas,4,Polk,136.03999,10,71,109,78,36,220,17,40
Arkansas,4,Pope,137.03999,13,51,100,77,29,277,1,60
Arkansas,4,Prairie,138.03999,10,52,12,87,33,171,2,45
Arkansas,4,Pulaski,139.03999,15,60,214,62,43,1155,14,52
Arkansas,4,Randolph,140.03999,11,60,94,79,26,46,12,50
Arkansas,4,St. Francis,141.03999,8,98,69,67,59,523,2,44
Arkansas,4,Saline,142.03999,10,39,79,76,27,283,18,55
Arkansas,4,Scott,143.03999,8,84,18,100,33,348,8,17
Arkansas,4,Searcy,144.03999,11,51,75,100,30,91,19,57
Arkansas,4,Sebastian,145.03999,11,68,204,76,32,668,12,54
Arkansas,4,Sevier,146.03999,17,88,108,71,37,277,5,62
Arkansas,4,Union,147.03999,12,65,165,79,42,584,2,50
Arkansas,4,Van Buren,148.03999,11,68,36,82,36,194,7,36
Arkansas,4,Washington,149.03999,16,55,133,77,30,405,15,45
Arkansas,4,White,150.03999,11,51,87,75,30,239,2,53
Arkansas,4,Woodruff,151.03999,2,79,120,66,43,254,4,60
Arkansas,4,Yell,152.03999,16,91,63,73,28,359,5,40
California,5,Alameda,153.05,19,29,149,75,30,834,1,45
California,5,Amador,154.05,15,26,84,88,23,333,0,29
California,5,Butte,155.05,17,32,103,80,35,418,14,55
California,5,Calaveras,156.05,23,23,66,89,27,171,0,36
California,5,Contra Costa,157.05,19,25,129,81,26,448,4,48
California,5,Del Norte,158.05,10,50,104,71,43,353,4,46
California,5,El Dorado,159.05,19,20,115,84,24,270,13,40
California,5,Fresno,160.05,18,61,106,67,36,495,10,54
California,5,Humboldt,161.05,19,31,125,80,39,385,2,39
California,5,Imperial,162.05,14,66,42,79,35,327,14,47
California,5,Kern,163.05,16,69,83,74,36,585,10,58
California,5,Kings,164.05,15,72,62,70,28,389,17,61
California,5,Lake,165.05,19,42,81,77,32,407,0,43
California,5,Lassen,166.05,20,32,75,73,33,308,10,41
California,5,Los Angeles,167.05,16,40,113,71,34,600,2,50
California,5,Madera,168.05,16,67,61,75,32,485,22,55
California,5,Marin,169.05,24,13,193,90,24,233,4,36
California,5,Mendocino,170.05,25,39,157,73,37,626,5,33
California,5,Merced,171.05,16,57,88,78,31,624,15,60
California,5,Monterey,172.05,14,57,101,72,31,514,7,39
California,5,Napa,173.05,25,30,130,77,24,467,5,36
California,5,Nevada,174.05,18,19,121,48,31,279,0,36
California,5,Orange,175.05,16,31,138,82,25,258,1,51
California,5,Placer,176.05,17,20,155,86,21,239,7,50
California,5,Plumas,177.05,16,23,172,78,34,650,2,29
California,5,Riverside,178.05,17,47,64,76,28,388,11,55
California,5,Sacramento,179.05,17,40,123,71,34,653,5,52
California,5,San Bernardino,180.05,16,50,83,69,32,505,11,60
California,5,San Diego,181.05,17,37,119,74,29,441,4,51
California,5,San Francisco,182.05,20,22,249,76,29,824,1,31
California,5,San Joaquin,183.05,17,51,92,71,33,866,6,55
California,5,San Luis Obispo,184.05,20,22,117,86,26,301,11,41
California,5,San Mateo,185.05,18,23,139,81,22,301,3,42
California,5,Santa Barbara,186.05,16,40,127,81,28,431,9,46
California,5,Santa Clara,187.05,13,27,150,78,22,306,1,47
California,5,Santa Cruz,188.05,18,31,155,77,28,494,7,41
California,5,Shasta,189.05,22,39,120,81,34,609,19,52
California,5,Siskiyou,190.05,17,38,121,88,37,369,7,38
California,5,Solano,191.05,19,33,106,70,31,563,6,55
California,5,Sonoma,192.05,21,26,161,77,28,425,7,38
California,5,Stanislaus,193.05,18,48,109,75,31,565,9,54
California,5,Sutter,194.05,13,46,131,74,29,367,12,48
California,5,Tehama,195.05,17,51,54,76,37,625,3,48
California,5,Tulare,196.05,19,69,69,75,33,521,18,50
California,5,Tuolumne,197.05,25,27,110,82,26,247,0,32
California,5,Ventura,198.05,18,36,123,79,25,262,6,49
California,5,Yolo,199.05,20,22,193,76,27,316,7,53
California,5,Yuba,200.05,16,63,38,57,33,470,24,56
Colorado,6,Adams,201.06,18,62,79,63,29,356,6,56
